FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Vicente,Iborra,MID,LEI,5700000,0,35,1.20689655172414,2.11736237144586E-07,6.14035087719298E-06,0,11041,0,15,0,0,0,1,0,6.1,42,-3,0,35,3,0,0,0,2,0,2,0,0,0.1,4588,0,0,0,0,1055,42,0,0,199,West Brom,Brighton,Newcastle,Burnley,Southampton,0.6,0,0.6,0.7,0.6,0.6,0.6,0.8,0.6,38.7
Zlatan,Ibrahimovic,FWD,MUN,9500000,0,5,0.172413793103448,1.81488203266788E-08,5.26315789473684E-07,0,39372,0,2,0,0,0,0,0,0.5,78,-5,0,5,5,0,0,0,0,0,0,0,0,0.1,37974,0,0,0,0,102,30,0,0,18,Liverpool,Swansea,Man City,West Brom,Bournemouth,0,0,0,0,0,0.1,0.1,0.1,0.1,12.6
Kelechi,Iheanacho,FWD,LEI,6500000,4,22,0.758620689655172,1.16710875331565E-07,3.38461538461538E-06,0,141099,1,8,0,0,0,0,0,3.4,399,-5,0,22,5,0.3,0,2,0,0,0,0,2,0.7,19860,0,0,0,0,423,253,0,0,47,West Brom,Brighton,Newcastle,Burnley,Southampton,0.4,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,21.6
Giannelli,Imbula,MID,STK,4500000,0,0,0,0,0,0,8413,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,971,0,0,0,0,0,0,0,0,0,Man City,Everton,Arsenal,Tottenham,West Ham,0,0,0,0,0,0,0,0,0,0
Tom,Ince,MID,HUD,5500000,1,67,2.4,4.36363636363636E-07,1.21818181818182E-05,0,92958,0,36,0,0,0,1,0,12.2,252,-5,0,67,5,0.2,0,1.3,3,0,6,0,1,0.5,34336,0,0,0,0,2121,828,0,0,218,Swansea,Crystal Palace,Newcastle,Brighton,Watford,2.3,2.2,1.5,1.2,2.1,1.2,2.9,1.2,2.5,108.9
Danny,Ings,FWD,LIV,5400000,0,3,0.103448275862069,1.91570881226054E-08,5.55555555555556E-07,0,6908,0,0,0,0,0,0,0,0.6,105,-1,0,3,1,0,0,0,0,0,0,0,0,0.1,4493,0,0,0,0,28,27,0,0,9,Man Utd,Watford,Crystal Palace,Everton,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.3
Stephen,Ireland,MID,STK,4500000,0,1,0.0344827586206897,7.66283524904214E-09,2.22222222222222E-07,0,1714,1,3,0,0,0,0,0,0.2,57,0,0,1,0,0,0,0,0,0,0,0,0,0,2189,0,0,0,0,90,3,0,0,1,Man City,Everton,Arsenal,Tottenham,West Ham,0,0,0,0,0,0,0,0,0,2.7
Alex,Iwobi,MID,ARS,5100000,2,58,2,3.92156862745098E-07,1.13725490196078E-05,0,203424,1,17,0,0,0,2,0,11.4,1908,-4,0,58,4,0.2,0,1,1,0,6,0,3,0.8,92023,0,0,0,0,1183,544,0,0,279,Watford,Stoke,Southampton,Newcastle,West Ham,1.6,0,1.7,1.6,1.1,2,1,1.7,1,117.9
,Izquierdo,MID,BHA,5900000,2,72,2.48275862068966,4.20806545879603E-07,1.22033898305085E-05,0,11099,2,20,0,0,0,4,0,12.2,1286,-1,0,72,1,0.8,0,5,4,0,3,0,3,0.4,31820,0,0,0,0,1291,3833,0,0,231,Everton,Leicester,Huddersfield,Crystal Palace,Tottenham,1.8,0,2.4,2.8,1.4,2,1.5,2,1.2,92.1
Jaroslaw,Jach,DEF,CRY,4300000,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,13,-2,1,0,2,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,6,-1,0,0,Chelsea,Huddersfield,Liverpool,Bournemouth,Brighton,0,0,0,0,0,0,0,0,0,0
Phil,Jagielka,DEF,EVE,4700000,0,28,0.96551724137931,2.0542920029347E-07,5.95744680851064E-06,0,352995,1,30,0,0,0,0,0,6,657,-3,0,28,3,0,0,0,4,0,2,0,0,2.5,107588,0,0,0,1,1264,280,0,0,242,Brighton,Stoke,Man City,Liverpool,Swansea,0.7,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.5,39
Eldin,Jakupovic,GLK,LEI,4200000,0,0,0,0,0,0,9579,0,0,0,0,0,0,0,0,46,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1588,0,0,0,0,0,31,0,0,0,West Brom,Brighton,Newcastle,Burnley,Southampton,0,0,0,0,0,0,0,0,0,0
Matty,James,MID,LEI,4400000,2,26,0.896551724137931,2.03761755485893E-07,5.90909090909091E-06,0,26870,2,15,0,0,0,0,0,5.9,166,-1,0,26,1,0.5,0,2,0,0,4,0,0,0.2,19649,0,0,0,0,991,216,0,0,121,West Brom,Brighton,Newcastle,Burnley,Southampton,0.4,0,0.4,0.4,0.4,0.4,0.4,0.5,0.4,31.4
Kyle,Jameson,DEF,WBA,4000000,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,2229,0,0,0,0,0,270,0,0,0,Leicester,Bournemouth,Burnley,Swansea,Man Utd,0,0,0,0,0,0,0,0,0,0
